이름,성별,생년월일,우편번호,주소,나이,휴대폰번호,가입일자,가입기간,수신총잔액 ,신용대출한도 ,신용등급,담보대출한도 ,년간환전액
서문엘레노라,F,19661009,048046,충북 청원군 옥산면,54,010-8901-7472,2002-09-22,15,27586243,4200000,5,8400000,0
함남결,M,19531021,042853,충남 공주시 봉황동,67,010-1827-6582,2003-03-12,15,9116496,13400000,8,26800000,0
왕카리스,M,19470509,006458,서울 은평구 응암1동,73,010-6336-5349,2008-11-27,9,2033908,22100000,6,44200000,0
부등승,F,19870418,029857,경남 남해군 서면,33,010-2940-8625,2003-09-13,14,537142,28300000,4,56600000,0
갈재업,M,19670609,003960,서울 마포구 창전동,53,010-9956-6518,2009-01-06,9,9749046,34000000,7,68000000,7000000
선우노아시원,M,19520926,020426,경기 광명시 광명4동,68,010-3661-8469,2012-06-20,6,240393,1200000,10,2400000,0
오문보,F,19620224,020112,경기 고양시 백석동,58,010-1208-5098,2005-12-19,12,184976,4100000,9,8200000,0
우앤드류종,M,19460510,026117,경기 평택시 고덕면,74,010-2066-1930,2003-10-10,14,7921823,59500000,4,119000000,0
금자현,M,19631122,021100,경기 김포시 감정동,57,010-9565-7483,2003-04-28,15,788325,32900000,4,65800000,0
낭클로비스,F,19441207,004615,서울 성동구 옥수2동,76,010-3790-5957,2004-04-06,14,490880,25100000,4,50200000,0
로래문,M,19680716,032332,경북 상주시 낙양동,52,010-1539-9778,2001-12-12,16,179059167,38800000,3,77600000,0
함정지원,F,19600628,001252,서울 강서구 내발산동,60,010-2721-1277,2005-06-29,13,972902,30600000,5,61200000,0
좌맥스유턱,M,19840127,025175,경기 의정부시 신곡1동,36,010-7976-0595,2004-03-08,14,20653336,2400000,7,4800000,0
남제이든최,M,19650901,016151,대전 서구 정림동,55,010-9636-5887,2005-04-25,13,2580862,70900000,4,141800000,0
곽남교,M,19790424,004417,서울 서초구 양재2동,41,010-8437-7153,2007-05-13,11,562882,4800000,9,9600000,0
무본기로,F,19800813,001484,서울 관악구 봉천1동,40,010-1871-2134,2005-04-20,13,2219707,207300000,2,414600000,0
곡택은,M,19530525,040611,전북 전주시 덕진동1가,67,010-3788-4991,2006-11-28,11,610271,64000000,6,128000000,0
이니나에페,M,19621128,032102,경북 김천시 증산면,58,010-4487-3960,2007-08-04,10,22562868,9700000,6,19400000,0
사명낙,M,19840531,048547,경기 고양시 주엽동,36,010-7829-8481,2003-12-23,14,802009,169300000,3,338600000,0
위오빈,F,19611025,019877,경기 고양시 성사동,59,010-6927-1550,2006-11-13,11,633808,784600000,2,1569200000,164900000
계사욱,F,19520711,006397,서울 은평구 수색동,68,010-5634-0003,2004-07-28,13,441377,19100000,4,38200000,0
석의별,M,19820501,020326,경기 고양시 탄현동,38,010-4706-8831,2004-09-08,13,2018273,7300000,8,14600000,0
무본니꼬,F,19640325,048580,경기 고양시 마두동,56,010-9032-8881,2005-09-11,12,472600,266300000,2,532600000,0
송예일리,F,19421225,027905,경남 마산시 산호동,78,010-9601-0281,2006-10-11,11,973562,86700000,3,173400000,0
여해마루,F,19920228,022009,경기 부천시 심곡3동,28,010-6217-4149,2002-07-03,16,689013,18900000,3,37800000,0
후혜순,M,19470521,036270,전남 목포시 용해동,73,010-5306-8376,2010-07-13,7,25881913,1700000,9,3400000,0
삼벽생,M,19571014,017663,강원 삼척시 정하동,63,010-6743-8228,2003-07-14,14,802482,491100000,3,982200000,0
비예수아,F,19680306,021731,경기 동두천시 탑동,52,010-4944-6748,2008-09-06,9,1879713,76900000,3,153800000,0
사공이드,F,19811015,020184,경기 고양시 일산2동,39,010-6306-0100,2004-07-21,13,77822,309300000,2,618600000,0
려의도,M,19690614,020035,경기 고양시 대화동,51,010-8031-2408,2002-02-05,16,790981,382100000,3,764200000,6200000
요보야향,M,19640418,044475,충남 당진군 합덕읍,56,010-2570-2832,2006-02-15,12,1671675,38300000,7,76600000,0
심규응,F,19470923,047837,충북 청원군 강내면,73,010-9189-9996,2001-10-15,16,300694,1700000,9,3400000,9300000
창리바이헌,M,19580415,040308,전북 익산시 마동,62,010-8084-7778,2002-10-24,15,677382,6000000,4,12000000,0
현정결,F,19920602,004164,서울 서대문구 홍은동,28,010-3056-3246,2005-08-26,12,526839,3700000,8,7400000,0
안컬린다은,M,19570618,019914,경기 고양시 행신1동,63,010-5169-8617,2010-01-12,8,891492,30400000,4,60800000,0
만승겸,M,19600906,027631,경남 김해시 내동,60,010-8009-2905,2006-09-04,11,397075,723800000,2,1447600000,0
궉묵율,M,19800603,042784,제주 북제주군 한림읍,40,010-7231-6161,2004-08-29,13,625150,2000000,10,4000000,0
봉에셔하늘,M,19590402,021865,경기 부천시 고강1동,61,010-9552-7158,2007-06-06,11,331345548,1600000,4,3200000,0
남토우리,M,19770116,000834,서울 강동구 천호1동,43,010-8099-1302,2001-05-09,17,359494,28200000,6,56400000,0
부리아연두,M,19570326,043099,충남 논산시 부창동,63,010-2180-0112,2008-12-28,9,510332,13700000,8,27400000,0
수소홍,M,19490728,025266,경기 의정부시 의정부3동,71,010-1499-7681,2004-01-01,14,3607154,15200000,7,30400000,0
옥클챤현빈,F,19601012,042155,전북 임실군 신덕면,60,010-6330-0809,2006-05-03,12,9931398,181000000,3,362000000,0
려제니지우,F,19680712,019783,강원 횡성군 둔내면,52,010-9203-0577,2001-11-12,16,963023,215600000,2,431200000,0
추레아예은,F,19620805,027588,경남 거제시 장목면,58,010-1156-6297,2008-04-17,10,5283355,15900000,8,31800000,0
기세승,M,19591108,030181,경남 창녕군 창녕읍,61,010-7401-3616,2005-11-13,12,6577157,44700000,6,89400000,0
구잎새,M,19510720,015325,인천 강화군 송해면,69,010-9639-1573,2006-07-20,11,918203,10700000,9,21400000,0
곽문호,M,19550203,005569,서울 양천구 신정7동,65,010-7571-3480,2009-01-05,9,6095402,187000000,4,374000000,0
남궁재제,F,19661230,048580,경기 고양시 마두동,54,010-4320-4301,2003-03-25,15,120120,65200000,4,130400000,0
계지아레이,F,19580221,014002,인천 서구 당하동,62,010-8052-0989,2007-09-16,10,245270,104500000,6,209000000,0
하날사,F,19771216,006301,서울 은평구 갈현2동,43,010-4517-8740,2004-06-06,14,6444943,36400000,4,72800000,0
총광평,F,19560529,038262,전남 영암군 영암읍,64,010-4494-0261,2002-05-24,16,27204,17700000,4,35400000,0
관비권,M,19410416,020184,경기 고양시 일산2동,79,010-3805-1478,2006-05-11,12,19019990,12600000,8,25200000,0
등에리카선,F,19740915,003694,서울 동작구 신대방2동,46,010-2212-3155,2006-03-12,12,42463,4500000,6,9000000,0
자루아라,F,19790614,047771,충북 진천군 이월면,41,010-3078-4913,2007-08-23,10,6003820,255600000,2,511200000,0
매석율,F,19420317,024163,경기 안양시 안양2동,78,010-3831-4634,2007-11-11,10,16309980,17000000,4,34000000,0
야유겸,M,19590921,039240,전남 해남군 문내면,61,010-5504-5094,2006-05-09,12,366436,3900000,7,7800000,0
황보앨런예혁,M,19680403,043925,충남 아산시 인주면,52,010-1659-9447,2006-06-28,12,150473,49300000,6,98600000,0
배칭민,M,19690822,027972,경남 마산시 오동동,51,010-8971-2866,2006-09-04,11,430539,76400000,6,152800000,0
반토오루,F,19600811,048686,경기 고양시 풍동 ,60,010-2950-7336,2002-08-05,15,409750,171700000,4,343400000,0
주금이율,F,19630528,022029,경기 부천시 역곡1동,57,010-1840-3648,2002-12-11,15,328445,1300000,9,2600000,0
포도오,M,19561011,013667,인천 부평구 부개2동,64,010-7292-9840,2008-07-21,9,406134,2900000,10,5800000,0
정부창,M,19511023,046765,충북 괴산군 칠성면,69,010-1790-1568,2009-10-01,8,22998160,37700000,6,75400000,0
공한솔하,F,19520617,023184,경기 시흥시 은행동,68,010-7699-5653,2006-11-06,11,484860,26700000,4,53400000,0
은앤서니진,F,19600208,005066,서울 송파구 가락동,60,010-2903-4850,2003-02-09,15,6754532,2200000,8,4400000,0
낭에이미리,F,19650627,021157,경기 김포시 장기동,55,010-6813-1187,2004-11-16,13,730949,48300000,4,96600000,0
번최지윤,F,19530313,019913,경기 고양시 토당동,67,010-5796-1031,2002-08-13,15,20314322,383800000,2,767600000,45800000
뢰종헤이,M,19660423,022086,경기 부천시 중3동,54,010-2380-1595,2007-03-22,11,4324988,72800000,4,145600000,0
감이츠키,M,19530918,015714,대전 대덕구 송촌동,67,010-9937-9051,2007-07-22,10,784282,459800000,3,919600000,0
서가준,M,19471219,048345,경기 고양시 백석동,73,010-9028-9655,2008-10-07,9,807784,20500000,7,41000000,0
한민낫,F,19761013,005900,서울 영등포구 영등포동3가,44,010-9600-3471,2006-09-10,11,1288504,5000000,9,10000000,0
동방진흥,M,19560813,003844,서울 마포구 상암동,64,010-8991-4482,2004-06-25,14,134976,1500000,8,3000000,0
어최상,F,19461107,001315,서울 강서구 방화3동,74,010-9184-6904,2006-12-21,11,431131,36700000,4,73400000,0
등정얀희,M,19530315,015647,광주 서구 화정동,67,010-9458-6077,2003-08-27,14,183615,9800000,8,19600000,0
어강바라,F,19400221,028800,경남 진주시 이현동,80,010-7767-3042,2006-07-09,12,29470,199000000,4,398000000,0
순령생,M,19500307,016780,울산 동구 서부동,70,010-9570-3044,2004-10-13,13,558315,11200000,7,22400000,0
빙범창,F,19650106,048435,경기 고양시 중산동,55,010-5479-0042,2001-09-10,16,100101,547300000,1,1094600000,0
서술비,M,19540628,025631,경기 파주시 금촌동,66,010-3736-8513,2006-06-04,12,14758614,14100000,6,28200000,0
당라렬,F,19700327,020011,경기 고양시 가좌동,50,010-8893-5327,2005-04-03,13,9723199,19000000,4,38000000,0
학재빈매튜,M,19701019,048580,경기 고양시 마두동,50,010-4229-5171,2004-01-26,14,496329,39400000,4,78800000,0
예레나,F,19460803,037556,전남 담양군 봉산면,74,010-2026-2036,2004-11-10,13,639047270,2200000,4,4400000,0
아추미,M,19540926,014168,인천 연수구 청학동,66,010-8755-6207,2008-12-11,9,397219,12000000,7,24000000,0
팽찬형,F,19830720,024147,경기 안양시 석수동,37,010-6802-1988,2003-03-25,15,7947398,350100000,2,700200000,0
아휴버트정,F,19500508,019949,경기 고양시 행신3동,70,010-2661-3770,2006-10-19,11,875873,814700000,1,1629400000,0
위윤라온,F,19581206,028121,경남 마산시 회원2동,62,010-8867-9103,2004-11-18,13,271581429,46300000,3,92600000,0
오찬시,F,19600516,025700,경기 파주시 교하읍,60,010-4519-6742,2002-03-13,16,21374703,329300000,2,658600000,0
자비앙,M,19710306,021248,경기 남양주시 가운동,49,010-7783-2879,2009-02-03,9,85423,21600000,8,43200000,0
뢰윤아마리,F,19421019,014662,광주 광산구 장덕동,78,010-6767-2491,2007-10-02,10,257694,33200000,4,66400000,0
종션선덕,F,19780806,020326,경기 고양시 탄현동,42,010-7581-7480,2004-08-03,13,223007,52000000,4,104000000,0
추미켈,M,19500402,007320,서울 중랑구 면목6동,70,010-8355-1897,2001-09-24,16,519365,31900000,3,63800000,0
어중앙,M,19780407,022569,경기 성남시 은행2동,42,010-9376-5063,2007-02-13,11,24149658,2900000,4,5800000,0
김꺄미유미,F,19690524,022079,경기 부천시 중2동,51,010-6562-5248,2006-08-10,11,590749,29800000,7,59600000,0
황보잔민,F,19740705,016719,울산 남구 야음동,46,010-9575-9110,2007-03-06,11,773903,29000000,8,58000000,0
완나임,F,19891231,020184,경기 고양시 일산2동,31,010-9267-7046,2008-01-30,10,10128438,1900000,9,3800000,0
당봄설,M,19520302,017812,강원 속초시 교동,68,010-8540-5823,2009-06-28,9,20793154,24500000,6,49000000,0
문새롬,F,19521113,003518,서울 동작구 사당3동,68,010-2845-4307,2004-12-21,13,19522585,1700000,6,3400000,0
애뻬드로,F,19460424,019831,강원 횡성군 청일면,74,010-8345-0129,2006-03-26,12,3041371,6500000,6,13000000,0
태엠마윤서,F,20161025,022449,경기 성남시 태평1동,4,010-1616-6093,2004-02-22,14,20093358,2700000,5,5400000,0
봉배명,M,19500901,006899,서울 은평구 진관동,70,010-4037-5653,2006-03-05,12,4980328,25000000,5,50000000,0
온시아재이,F,19520415,020292,경기 고양시 주엽2동,68,010-2392-3141,2007-03-16,11,482620,145800000,3,291600000,0
총송우주,F,19721007,025628,경기 파주시 금촌2동,48,010-3910-7258,2005-05-11,13,23325191,720400000,3,1440800000,0
왕기배,M,19490326,020184,경기 고양시 일산2동,71,010-8928-4214,2006-05-27,12,978004,70200000,6,140400000,41000000
옥도지환,F,19740617,014197,인천 중구 신흥동2가,46,010-4099-5084,2004-02-23,14,996075,110100000,3,220200000,0
표윤제인,M,19570519,027457,경남 거제시 신현읍,63,010-7321-8200,2006-09-20,11,252801,11900000,8,23800000,0
남궁샤일로,M,19650127,004734,서울 성북구 돈암동,55,010-7575-1327,2006-10-13,11,956194,2600000,10,5200000,0
동방규혜,F,19581109,013540,인천 남동구 만수2동,62,010-8310-2550,2007-06-19,11,540439,25900000,8,51800000,0
엄숨결,F,19650506,048425,경기 고양시 중산동,55,010-2296-9997,2005-11-16,12,4956579,78900000,3,157800000,0
종윈스턴,F,19540829,048343,경기 고양시 마두동,66,010-4036-9412,2005-03-06,13,3616127,1600000,7,3200000,0
태크마,F,19740828,021964,경기 부천시 상3동,46,010-5720-1661,2003-03-14,15,79356,194400000,3,388800000,0
국태야,F,19760502,006651,서울 종로구 숭인2동,44,010-6196-2842,2005-02-20,13,213850,70000000,4,140000000,0
조름사,M,19580403,016203,대전 유성구 대정동,62,010-9190-5042,2001-05-29,17,625172,15200000,6,30400000,0
양하지매,F,19430207,035667,경북 칠곡군 북삼읍,77,010-2965-3337,2002-07-02,16,2399172,2700000,7,5400000,9100000
탕진가,M,19670705,014059,인천 서구 왕길동,53,010-2487-6078,2004-10-25,13,633649,17400000,6,34800000,0
섭아멘,F,19500712,045538,충남 태안군 안면읍,70,010-9404-3657,2004-11-08,13,626509107,5100000,3,10200000,0
간아인코모,M,19741109,006332,서울 은평구 녹번동,46,010-4348-5947,2008-06-04,10,995010,1900000,10,3800000,0
추안다비,M,19680926,045058,충남 연기군 조치원읍,52,010-2652-9825,2005-08-08,12,4025028,46600000,4,93200000,0
황제이린,F,19691225,007486,서울 중랑구 중화2동,51,010-7343-8436,2002-08-20,15,6267419,172000000,2,344000000,0
경자라타오,F,19810126,004164,서울 서대문구 홍은동,39,010-7267-6446,2002-04-01,16,903354,470100000,2,940200000,0
팽한평,M,19490510,024839,경기 용인시 기흥읍,71,010-7212-1321,2004-04-13,14,191688,711300000,1,1422600000,111800000
보민아이,M,19460527,033064,경북 영주시 부석면,74,010-4252-5831,2005-11-07,12,27058333,2300000,8,4600000,0
명자넷효진,F,19451226,013474,인천 남동구 구월2동,75,010-8770-5029,2004-04-22,14,938906081,21300000,2,42600000,0
노사예랑,F,19471004,013015,인천 계양구 박촌동,73,010-1689-7273,2004-08-22,13,682382,29300000,4,58600000,0
탁준환,M,19670531,020125,경기 고양시 백석동,53,010-7924-8373,2002-05-02,16,12667,519500000,3,1039000000,0
감호삼,M,20031225,025815,경기 파주시 파주읍,17,010-7359-4826,2004-04-13,14,4414840,16200000,4,32400000,0
오명월,F,19920605,004444,서울 서초구 양재동,28,010-1367-8850,2002-06-08,16,357645,34000000,4,68000000,0
동방려후,F,19630823,020067,경기 고양시 마두1동,57,010-1500-1638,2004-08-04,13,442113,118300000,3,236600000,0
뢰대돈,F,19530703,000900,서울 강동구 천호동,67,010-2002-1101,2006-10-09,11,529273,26700000,4,53400000,0
종황초인,M,19690813,006430,서울 은평구 신사동,51,010-3820-1093,2005-11-29,12,274021,111900000,6,223800000,2200000
어성표,M,19490128,001261,서울 강서구 등촌2동,71,010-6812-5398,2002-12-17,15,4252158,626000000,1,1252000000,0
부리효,F,19711202,026432,경기 하남시 덕풍동,49,010-2357-7157,2006-07-28,11,990101,36800000,4,73600000,0
옹새동,M,19780704,048663,경기 고양시 풍동 ,42,010-5074-1258,2004-02-08,14,685929,41800000,4,83600000,0
성레오안,M,19530821,014012,인천 서구 마전동,67,010-3182-0486,2006-03-09,12,21868961,23700000,5,47400000,0
망절주이레,M,19680125,042473,제주 제주시 노형동,52,010-2508-9235,2005-06-30,13,560028,24300000,7,48600000,0
봉귀심,M,19790918,014885,광주 동구 금남로2가,41,010-8367-9067,2008-05-06,10,5554333,36500000,3,73000000,0
담사동,F,19630109,016274,대전 유성구 전민동,57,010-8118-4713,2010-02-21,8,3194843,185500000,2,371000000,0
돈소금이,M,19500629,002526,서울 노원구 공릉3동,70,010-2582-1592,2006-05-04,12,26486803,14100000,8,28200000,0
하무아즈,M,19610626,031593,경북 구미시 도량1동,59,010-1432-2857,2006-06-11,12,997409,2600000,8,5200000,0
무본재장,M,19600618,024792,경기 용인시 기흥읍,60,010-8257-9890,2004-06-23,14,611688283,14000000,4,28000000,0
가이로하,F,19620328,023995,경기 안양시 비산2동,58,010-9408-2510,2004-01-19,14,909813,96500000,5,193000000,0
궁리나수잔,F,19501008,020329,경기 고양시 풍동,70,010-2876-5035,2006-06-20,12,5891405,29200000,4,58400000,102700000
우을하늘,M,19830225,005685,서울 영등포구 문래동,37,010-9361-9887,2007-01-08,11,955505,614600000,3,1229200000,0
인여울,M,19400122,007246,서울 중랑구 망우동,80,010-7551-4774,2009-02-10,9,906485,19800000,4,39600000,0
마휘황,F,19420908,011318,대구 동구 불로동,78,010-5902-2174,2008-05-19,10,52735,68700000,3,137400000,0
보하늬,M,19410629,003815,서울 마포구 망원1동,79,010-1155-5361,2005-02-15,13,452777,344200000,2,688400000,131500000
범승란,M,19790217,003844,서울 마포구 상암동,41,010-1464-4188,2009-04-10,9,312118,2900000,10,5800000,0
류이사벨라,F,19500128,022747,경기 수원시 호매실동,70,010-1418-9305,2002-11-24,15,292207,308400000,2,616800000,0
정다윗예찬,M,19590427,013978,인천 서구 가좌4동,61,010-8552-8755,2001-02-27,17,3085485,14400000,5,28800000,0
옥덕재,F,19771116,024733,경기 용인시 구성읍,43,010-3403-4937,2006-04-07,12,952801,101700000,6,203400000,0
란미끼,M,19650520,019959,경기 고양시 화전동,55,010-5068-2103,2004-09-20,13,977526,3000000,9,6000000,0
묘아이르,F,19531002,020340,경기 고양시 탄현동,67,010-1524-0689,2001-10-08,16,5607822,32700000,4,65400000,0
자재클린앤,M,19610706,031904,경북 김천시 부곡동,59,010-2702-6516,2004-08-02,13,4044709,574400000,3,1148800000,0
류들빛,M,19840613,025627,경기 파주시 금촌1동,36,010-7234-2095,2004-07-05,14,7358869,105700000,4,211400000,0
범실기,M,19430326,005283,서울 송파구 잠실3동,77,010-3105-7072,2001-10-29,16,9444035,12800000,8,25600000,0
포제인지영,F,19581021,003304,서울 동대문구 장안2동,62,010-5411-6762,2004-12-30,13,903951,19400000,8,38800000,0
화필립용,F,19540405,005600,서울 영등포구 당산동4가,66,010-4322-1024,2009-05-06,9,560906,4300000,6,8600000,0
팽한아람,M,19481229,007089,서울 중구 회현동1가,72,010-3287-4249,2001-04-24,17,14071573,46500000,4,93000000,0
한선흠,M,19810711,017812,강원 속초시 교동,39,010-1238-1880,2003-02-14,15,412143,103500000,6,207000000,0
상아향,M,19610415,004164,서울 서대문구 홍은동,59,010-3266-4219,2001-12-12,16,94523,23600000,7,47200000,0
나부민옥,F,19520617,023184,경기 시흥시 은행동,68,010-7699-5653,2006-11-06,11,484860,26700000,4,53400000,0
공문비,M,19591004,000792,서울 강동구 암사3동,61,010-2622-6633,2008-03-10,10,5739366,3500000,9,7000000,0
마윤특,M,19860810,020166,경기 고양시 일산1동,34,010-4143-2020,2002-12-04,15,6041026,67300000,4,134600000,0
당재롬,F,19840225,033766,경북 포항시 흥해읍,36,010-6592-9488,2003-03-17,15,16121856,20600000,4,41200000,0
소김서찬,F,19670731,022925,경기 수원시 정자동,53,010-7487-5461,2007-03-23,11,16754547,3300000,9,6600000,0
황보후조,F,19900103,014168,인천 연수구 청학동,30,010-1793-9906,2005-03-26,13,613743,125100000,3,250200000,0
담도융,M,19621124,020142,경기 고양시 설문동,58,010-5872-7191,2003-07-14,14,478374,13500000,8,27000000,0
종알란대연,F,19730407,008015,부산 남구 우암동,47,010-4247-8364,2009-12-17,8,113148,14500000,9,29000000,0
소마나카,M,19420602,040213,전북 남원시 송동면,78,010-4293-2849,2004-03-31,14,103666,24400000,7,48800000,0
소꽃필,M,19460725,013806,인천 부평구 부평동,74,010-1145-8176,2004-07-01,14,9346449,73200000,6,146400000,0
강원규,F,19790521,129256,경남 창원시 상남동,41,010-2113-0271,2002-01-11,16,9423742,38800000,4,77600000,0
아청사,M,19580421,019959,경기 고양시 화전동,62,010-3287-0432,2006-07-29,11,849461569,2600000,4,5200000,0
범주드연호,M,19640504,048589,경기 고양시 설문동,56,010-7283-4662,2009-05-13,9,3661228,255600000,3,511200000,0
배순인,M,20160504,048580,경기 고양시 마두동,4,010-1759-1306,2003-03-19,15,837318,27400000,3,54800000,0
궁토레스,F,19800811,023487,경기 안산시 초지동,40,010-5244-8798,2002-12-23,15,503564,12700000,9,25400000,1700000
낭선림,M,19620409,025122,경기 의정부시 녹양동,58,010-4794-5228,2003-09-01,14,7417779,47800000,3,95600000,0
영패트릭리,F,19620723,048188,인천 연수구 송도동,58,010-1177-9668,2007-04-15,11,11622269,631100000,2,1262200000,0
석복비,F,19520102,024078,경기 안양시 호계동,68,010-5347-0605,2004-01-13,14,704674,74900000,6,149800000,0
방미향,M,19581128,020013,경기 고양시 가좌동,62,010-4529-7270,2005-06-23,13,482693,978300000,2,1956600000,0
학원원,M,19630516,024370,경기 양주시 백석읍,57,010-9640-1517,2002-05-15,16,8180469,10000000,5,20000000,65000000
애복렬,F,19491028,003304,서울 동대문구 장안2동,71,010-8727-3044,2003-09-04,14,125968,12300000,4,24600000,0
대욱미,M,19841105,026432,경기 하남시 덕풍동,36,010-7861-3881,2006-12-17,11,8333118,19300000,7,38600000,0
김누리태양,M,19490222,019877,경기 고양시 성사동,71,010-2091-1868,2002-05-29,16,9771381,40600000,7,81200000,0
마제이진,M,19451006,013256,인천 남구 주안2동,75,010-6999-6032,2008-08-25,9,292757,113400000,6,226800000,0
권순평,M,19540112,006430,서울 은평구 신사동,66,010-5600-2633,2009-02-24,9,414534,21600000,6,43200000,0
남올리민,M,19531006,047698,충북 진천군 진천읍,67,010-8688-9623,2005-03-21,13,24707945,2300000,9,4600000,0
총요훈,M,19550626,039090,전남 함평군 대동면,65,010-6725-7733,2001-08-23,16,100134,44700000,4,89400000,0
계부택,M,19560227,019438,강원 평창군 진부면,64,010-8334-9849,2009-05-11,9,997307,443300000,2,886600000,0
오코코네,F,19530402,021193,경기 김포시 고촌면,67,010-9673-5269,2002-07-06,16,5867721,3000000,6,6000000,0
란유신아,F,19770802,004272,서울 서초구 방배2동,43,010-6072-5329,2003-02-04,15,4960617,388700000,2,777400000,0
추옥형,M,19700113,020163,경기 고양시 일산1동,50,010-6974-7211,2008-03-26,10,356058,272600000,4,545200000,0
변설루,M,19420929,004646,서울 성동구 하왕십리2동,78,010-1473-6516,2006-06-09,12,470608889,6000000,5,12000000,0
자클로이이,F,19650103,001345,서울 강서구 염창동,55,010-6643-5505,2005-08-05,12,3497332,2900000,8,5800000,0
홍곤태,F,19600609,026018,경기 평택시 이충동,60,010-5403-3268,2001-07-30,16,3931378,23400000,5,46800000,0
팽국철,F,19510619,004563,서울 성동구 성수1가2동,69,010-7032-7055,2003-02-14,15,461917,301300000,3,602600000,0
다별환,F,19891207,024131,경기 안양시 석수2동,31,010-9274-4457,2004-06-22,14,310274,34500000,4,69000000,0
시대니엘라,F,19790110,020013,경기 고양시 가좌동,41,010-6130-0418,2005-12-19,12,8052775,354600000,2,709200000,0
서윤재다나,F,19880509,006403,서울 은평구 수색동,32,010-5118-3163,2006-10-17,11,8016766,169000000,4,338000000,0
